,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
139,21025,2020-2021,Gladstone Area Schools,37.8,92.18,0.0,55495,12.19,500
140,22010,2015-2016,Iron Mountain Public Schools,16.7,91.73,0.0,44776,-3.67,478
141,22010,2016-2017,Iron Mountain Public Schools,33.9,90.95,0.0,44776,-5.51,478
142,22010,2017-2018,Iron Mountain Public Schools,15.6,90.03,0.0,44776,2.71,478
143,22010,2018-2019,Iron Mountain Public Schools,45.5,87.08,0.0,44776,5.01,478
144,22010,2020-2021,Iron Mountain Public Schools,25.9,92.35,0.0,44776,18.5,478
145,22025,2015-2016,Norway-Vulcan Area Schools,40.9,97.35,0.0,51714,5.35,141
146,22025,2016-2017,Norway-Vulcan Area Schools,51.0,95.98,0.0,51714,8.27,141
147,22025,2017-2018,Norway-Vulcan Area Schools,54.2,95.30,2.08,51714,10.91,141
148,22025,2018-2019,Norway-Vulcan Area Schools,54.5,94.96,2.13,51714,14.9,141
149,22025,2020-2021,Norway-Vulcan Area Schools,48.7,94.55,0.0,51714,16.19,141
150,23030,2015-2016,Charlotte Public Schools,39.7,95.10,0.66,62625,21.14,915
151,23030,2016-2017,Charlotte Public Schools,34.8,95.05,0.64,62625,16.95,915
152,23030,2017-2018,Charlotte Public Schools,29.9,94.18,0.0,62625,18.56,915
153,23030,2018-2019,Charlotte Public Schools,30.5,93.84,0.0,62625,16.59,915
154,23030,2020-2021,Charlotte Public Schools,22.5,92.85,0.0,62625,19.98,915
155,23050,2015-2016,Eaton Rapids Public Schools,26.0,95.24,0.67,62780,3.43,826
156,23050,2016-2017,Eaton Rapids Public Schools,20.0,94.92,0.67,62780,6.59,826
157,23050,2017-2018,Eaton Rapids Public Schools,30.8,93.75,1.33,62780,9.32,826
158,23050,2018-2019,Eaton Rapids Public Schools,24.5,94.07,0.0,62780,10.1,826
159,23050,2020-2021,Eaton Rapids Public Schools,30.2,95.00,0.0,62780,13.02,826
160,23060,2015-2016,Grand Ledge Public Schools,38.8,95.46,0.0,68002,9.79,1164
161,23060,2016-2017,Grand Ledge Public Schools,46.9,95.31,0.69,68002,11.2,1164
162,23060,2017-2018,Grand Ledge Public Schools,53.8,95.81,0.0,68002,12.21,1164
163,23060,2018-2019,Grand Ledge Public Schools,52.5,95.80,1.57,68002,12.59,1164
164,23060,2020-2021,Grand Ledge Public Schools,41.0,92.32,0.0,68002,20.65,1164
165,23080,2015-2016,Olivet Community Schools,41.7,95.77,1.11,58667,11.17,356
166,23080,2016-2017,Olivet Community Schools,33.9,95.09,0.0,58667,13.85,356
167,23080,2017-2018,Olivet Community Schools,43.1,94.40,0.0,58667,15.61,356
168,23080,2018-2019,Olivet Community Schools,48.4,95.36,1.15,58667,14.94,356
169,23080,2020-2021,Olivet Community Schools,34.5,95.45,1.31,58667,21.05,356
170,23090,2015-2016,Potterville Public Schools,24.7,93.72,10.94,55028,7.19,459
171,23090,2016-2017,Potterville Public Schools,24.7,93.25,1.72,55028,6.15,459
172,23090,2017-2018,Potterville Public Schools,2.5,93.36,1.56,55028,5.32,459
173,23090,2018-2019,Potterville Public Schools,18.0,93.28,1.64,55028,9.8,459
174,23090,2020-2021,Potterville Public Schools,28.6,92.68,1.64,55028,9.43,459
175,24020,2015-2016,Harbor Springs School District,59.5,94.87,1.47,64920,21.62,163
176,24020,2016-2017,Harbor Springs School District,43.8,94.75,2.86,64920,19.82,163
177,24020,2017-2018,Harbor Springs School District,51.5,94.49,1.15,64920,20.22,163
178,24020,2018-2019,Harbor Springs School District,67.6,94.26,1.3,64920,23.5,163
179,24020,2020-2021,Harbor Springs School District,41.4,95.61,0.53,64920,33.82,163
180,24040,2015-2016,Pellston Public Schools,33.3,93.72,5.41,46667,16.83,293
