,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
125,20015,2015-2016,Crawford AuSable Schools,51.4,5,95.61,5,0.0,2.78,47941,1097,424,23.83,702
126,20015,2016-2017,Crawford AuSable Schools,46.9,5,95.05,5,0.0,0.89,47941,1097,424,26.24,702
127,20015,2017-2018,Crawford AuSable Schools,54.8,5,94.71,5,0.0,0.0,47941,1097,424,27.4,702
128,20015,2018-2019,Crawford AuSable Schools,55.6,5,94.41,5,0.0,2.63,47941,1097,424,30.27,702
129,20015,2020-2021,Crawford AuSable Schools,61.1,5,95.00,5,0.0,0.0,47941,1097,424,33.97,702
130,2070,2015-2016,Munising Public Schools,24.5,5,95.61,5,0.0,0.0,42500,461,195,14.39,224
131,2070,2016-2017,Munising Public Schools,15.4,5,95.49,5,0.0,0.0,42500,461,195,14.94,224
132,2070,2017-2018,Munising Public Schools,24.5,5,92.25,5,0.0,0.0,42500,461,195,15.84,224
133,2070,2018-2019,Munising Public Schools,29.5,5,91.08,5,0.0,0.0,42500,461,195,16.61,224
134,2070,2020-2021,Munising Public Schools,29.5,5,88.37,5,0.0,0.0,42500,461,195,19.7,224
135,21025,2015-2016,Gladstone Area Schools,18.1,5,96.22,5,0.0,0.0,55495,1095,301,5.76,500
136,21025,2016-2017,Gladstone Area Schools,33.6,5,95.99,5,0.0,0.0,55495,1095,301,6.24,500
137,21025,2017-2018,Gladstone Area Schools,35.2,5,94.75,5,0.0,1.08,55495,1095,301,6.88,500
138,21025,2018-2019,Gladstone Area Schools,45.7,5,95.47,5,0.0,0.0,55495,1095,301,4.98,500
139,21025,2020-2021,Gladstone Area Schools,37.8,5,92.18,5,0.0,0.0,55495,1095,301,12.19,500
140,22010,2015-2016,Iron Mountain Public Schools,16.7,5,91.73,5,0.0,0.0,44776,925,333,-3.67,478
141,22010,2016-2017,Iron Mountain Public Schools,33.9,5,90.95,5,0.0,0.0,44776,925,333,-5.51,478
142,22010,2017-2018,Iron Mountain Public Schools,15.6,5,90.03,5,0.0,0.0,44776,925,333,2.71,478
143,22010,2018-2019,Iron Mountain Public Schools,45.5,5,87.08,5,0.0,0.0,44776,925,333,5.01,478
144,22010,2020-2021,Iron Mountain Public Schools,25.9,15,92.35,15,0.0,0.0,44776,925,333,18.5,478
145,22025,2015-2016,Norway-Vulcan Area Schools,40.9,5,97.35,5,0.0,0.0,51714,907,246,5.35,141
146,22025,2016-2017,Norway-Vulcan Area Schools,51.0,5,95.98,5,0.0,0.0,51714,907,246,8.27,141
147,22025,2017-2018,Norway-Vulcan Area Schools,54.2,5,95.30,5,0.0,2.08,51714,907,246,10.91,141
148,22025,2018-2019,Norway-Vulcan Area Schools,54.5,5,94.96,5,0.0,2.13,51714,907,246,14.9,141
