ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"55","Menominee ISD","55000","Menominee ISD  - District created from ISD","55","Menominee","ISD District","Elem thru High School","Town: Distant","2020","3025974.58","2656146.71","1002609.82","0.00","17.10",,"16.57","1.86","3","58.44","1","12.22","1",,,"233.10","1.00","33.13","1","69.94","1","1.14","1","24.27","1","3.05","3"
"56","Midland County Educational Service Agency","56000","Midland County Educational Service Agency  - District created from ISD","56","Midland","ISD District","Elem thru High School","City: Small","2020","9347982.30","9174401.97","1424616.66","0.00","295.05",,"297.52","1.32","4","13.87","2","1.96","3",,,"156.10","1.00","15.24","3","48.7","1","1.02","2","9.97","1","4.81","3"
"58","Monroe ISD","58000","Monroe ISD  - District created from ISD","58","Monroe","ISD District","Elem thru High School","Rural: Fringe","2020","23047215.05","22341723.60","9537034.44","0.00","787.81",,"783.00","3.99","1","7.99","3","5.23","2",,,"142.18","1.00","41.38","1","72.86","1","1.03","2","-1.01","3","1.06","2"
"59","Montcalm Area ISD","59000","Montcalm Area ISD  - District created from ISD","59","Montcalm","ISD District","Elem thru High School","Town: Distant","2020","7019747.60","6936255.06","1507099.41","0.00","174.73",,"173.36","1.55","3","5.86","3","4.04","2","0.48","1","140.73","1.00","21.47","2","38.35","1","1.01","3","-4.47","4","1.09","2"
"61","Muskegon Area ISD","61000","Muskegon Area ISD  - District created from ISD","61","Muskegon","ISD District","Elem thru High School","City: Small","2020","31814759.74","31507072.95","6179854.01","0.00","226.04",,"226.54","1.76","3","5.24","3","2.06","2","0.08","1","103.36","1.00","19.42","2","43.58","1","1.01","3","24.49","1","2.64","3"
"62","Newaygo County RESA","62000","Newaygo County RESA  - District created from ISD","62","Newaygo","ISD District","Elem thru High School","Rural: Fringe","2020","6655507.57","6554539.68","1166652.80","0.00","197.27",,"198.29","1.45","4","9.47","3","4.28","2","2.67","1","142.97","1.00","17.53","2","23.11","2","1.02","2","4.45","1","1.89","2"
"63","Oakland Schools","63000","Oakland Schools  - District created from ISD","63","Oakland","ISD District","Elem thru High School","Suburb: Large","2020","47680535.67","46897270.86","5764021.55","0.00","14.44",,"14.44","1.52","3","15.73","2","5.67","1","6.16","1","80.12","2.00","12.09","3","24.56","2","1.02","2","-13.38","4","-4.53","1"
"70","Ottawa Area ISD","70000","Ottawa Area ISD  - District created from ISD","70","Ottawa","ISD District","Elem thru High School","Rural: Fringe","2020","19570114.10","19417458.40","4279194.89","0.00","430.90",,"412.69","1.94","3","3.7","3","16.86","1","8.88","2","96.32","1.00","21.87","2","41.92","1","1.01","3","-0.43","2","10.13","4"
"73","Saginaw ISD","73000","Saginaw ISD  - District created from ISD","73","Saginaw","ISD District","Elem thru High School","Suburb: Midsize","2020","15413452.70","15524629.56","3089685.40","0.00","306.63",,"301.38","1.11","4","-3.47","4","13.84","1","3.39","1","523.99","1.00","20.05","2","28.12","2","0.99","4","-8.6","4","7.14","4"
"76","Sanilac ISD","76000","Sanilac ISD  - District created from ISD","76","Sanilac","ISD District","Elem thru High School","Town: Distant","2020","2967122.74","2877257.52","724422.09","0.00","77.17",,"77.09","1.49","3","14.16","2","3.03","2",,,"216.41","1.00","24.41","2","62.5","1","1.03","2","-7.27","4","-5.79","1"
