,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,american_indian_enrollment,asian_enrollment,english_language_learners_enrollment,early_middle_college_enrollment,admin_ineffective_percentage,admin_min_effective_percentage,teacher_min_effective_percentage,fundbalanceas%ofexpenditure,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
389,38010,2020-2021,Western School District,27.5,98.15,11,29,14,56,0.0,0.0,0.0,23.11,13259,12654,171,36,56,8,70,61306,652,926,884,2234,1560,487,34.7,34.2,35.3,622,3219
390,38050,2015-2016,Grass Lake Community Schools,24.2,95.70,8,4,5,0,0.0,0.0,0.0,20.67,6839,6620,15,18,104,0,50,77633,390,374,323,976,1096,414,43.6,40.2,46.7,108,2002
391,38050,2016-2017,Grass Lake Community Schools,33.0,95.38,7,5,5,0,0.0,0.0,1.28,12.88,6839,6620,15,18,104,0,50,77633,390,374,323,976,1096,414,43.6,40.2,46.7,108,2002
392,38050,2017-2018,Grass Lake Community Schools,35.5,95.18,4,5,5,0,0.0,0.0,1.33,11.62,6839,6620,15,18,104,0,50,77633,390,374,323,976,1096,414,43.6,40.2,46.7,108,2002
393,38050,2018-2019,Grass Lake Community Schools,51.1,95.05,4,4,5,86,0.0,0.0,0.0,11.98,6839,6620,15,18,104,0,50,77633,390,374,323,976,1096,414,43.6,40.2,46.7,108,2002
394,38050,2020-2021,Grass Lake Community Schools,46.3,92.62,4,4,5,61,0.0,0.0,0.0,21.85,6839,6620,15,18,104,0,50,77633,390,374,323,976,1096,414,43.6,40.2,46.7,108,2002
395,38080,2015-2016,Concord Community Schools,10.0,94.64,4,2,5,0,0.0,0.0,0.0,21.78,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
396,38080,2016-2017,Concord Community Schools,13.8,95.18,4,4,5,0,11.11,0.0,2.17,18.0,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
397,38080,2017-2018,Concord Community Schools,19.1,94.72,5,2,5,0,0.0,0.0,0.0,14.82,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
398,38080,2018-2019,Concord Community Schools,17.3,94.62,3,1,5,6,0.0,0.0,0.0,17.22,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
399,38080,2020-2021,Concord Community Schools,20.0,99.60,4,3,5,14,0.0,0.0,0.0,18.13,4906,4577,102,13,36,0,6,60604,178,276,286,954,458,218,43.5,42.6,43.8,157,1398
400,38130,2015-2016,Napoleon Community Schools,41.0,96.12,5,6,5,0,0.0,0.0,1.3,9.81,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
401,38130,2016-2017,Napoleon Community Schools,32.7,95.42,6,4,5,0,0.0,0.0,0.0,6.72,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
402,38130,2017-2018,Napoleon Community Schools,39.8,95.31,4,4,5,0,0.0,0.0,0.0,5.31,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
403,38130,2018-2019,Napoleon Community Schools,41.9,95.56,5,3,5,20,0.0,0.0,0.0,4.32,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
404,38130,2020-2021,Napoleon Community Schools,22.6,99.47,4,4,5,10,0.0,0.0,0.0,12.31,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
405,38150,2015-2016,Springport Public Schools,21.8,95.25,5,2,5,0,0.0,0.0,0.0,15.23,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
406,38150,2016-2017,Springport Public Schools,18.1,94.32,5,1,5,0,0.0,0.0,0.0,16.67,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
407,38150,2017-2018,Springport Public Schools,24.7,93.47,5,1,5,0,0.0,0.0,4.69,17.39,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
408,38150,2018-2019,Springport Public Schools,28.0,93.58,5,0,5,14,0.0,0.0,4.48,16.37,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
409,38150,2020-2021,Springport Public Schools,32.3,97.91,4,1,5,20,0.0,20.0,0.0,20.98,5706,5561,15,22,0,0,3,62422,263,303,393,1365,350,169,44.4,43.7,45.0,249,1576
410,38170,2015-2016,Jackson Public Schools,12.5,92.73,19,75,120,0,0.0,6.9,0.75,5.58,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
411,38170,2016-2017,Jackson Public Schools,16.9,92.43,11,97,110,0,0.0,3.57,1.3,3.44,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
412,38170,2017-2018,Jackson Public Schools,11.0,91.14,13,86,114,0,0.0,11.54,0.86,5.37,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
413,38170,2018-2019,Jackson Public Schools,23.4,90.94,15,79,93,60,0.0,0.0,1.69,6.43,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
414,38170,2020-2021,Jackson Public Schools,15.9,86.18,17,78,116,102,0.0,0.0,1.28,17.99,54663,42089,9103,192,616,33,527,41122,2612,2979,3013,9351,5390,1937,36.4,35.2,37.8,5562,12926
415,39030,2015-2016,Comstock Public Schools,16.7,91.86,7,27,45,0,0.0,0.0,5.22,18.03,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
416,39030,2016-2017,Comstock Public Schools,6.9,92.22,7,27,44,0,0.0,0.0,3.01,21.51,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
417,39030,2017-2018,Comstock Public Schools,5.4,89.67,6,33,29,0,0.0,28.57,4.26,14.79,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
418,39030,2018-2019,Comstock Public Schools,16.5,91.30,6,34,49,13,0.0,0.0,5.07,4.03,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
419,39030,2020-2021,Comstock Public Schools,5.0,94.16,7,22,58,26,0.0,0.0,0.0,6.87,16796,13236,2205,19,287,27,105,42622,636,706,664,2838,1497,769,35.5,34.8,35.8,1738,4021
420,39065,2015-2016,Gull Lake Community Schools,49.3,96.35,5,45,25,0,0.0,0.0,1.38,11.35,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
421,39065,2016-2017,Gull Lake Community Schools,36.6,95.96,9,49,29,0,0.0,0.0,0.0,12.85,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
422,39065,2017-2018,Gull Lake Community Schools,38.4,95.05,8,46,30,0,0.0,0.0,0.43,13.24,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
423,39065,2018-2019,Gull Lake Community Schools,58.3,95.94,8,47,44,185,0.0,0.0,1.05,13.21,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
424,39065,2020-2021,Gull Lake Community Schools,42.3,95.20,8,34,61,219,0.0,0.0,0.34,11.45,20056,18366,640,20,543,10,24,72691,771,1166,1486,2838,3819,1685,42.8,44.5,41.7,602,5523
425,39130,2015-2016,Parchment School District,48.8,94.56,8,16,11,0,0.0,0.0,0.0,8.1,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
426,39130,2016-2017,Parchment School District,45.8,94.18,6,13,16,0,0.0,0.0,0.0,5.86,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
427,39130,2017-2018,Parchment School District,37.7,92.86,5,20,27,0,0.0,0.0,0.0,7.71,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
428,39130,2018-2019,Parchment School District,41.8,93.12,5,13,16,21,0.0,0.0,0.0,9.41,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
429,39130,2020-2021,Parchment School District,22.8,90.34,4,14,10,17,0.0,0.0,0.0,18.65,10063,8816,854,30,74,0,25,57704,682,561,485,1483,1333,570,37.5,36.0,39.4,704,2653
430,39140,2015-2016,Portage Public Schools,56.43333333333334,95.86,8,565,311,0,0.0,0.0,1.11,12.57,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
431,39140,2016-2017,Portage Public Schools,49.699999999999996,95.92,10,550,307,0,0.0,0.0,0.37,11.52,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
432,39140,2017-2018,Portage Public Schools,49.76666666666667,95.23,11,552,309,0,0.0,0.0,0.0,10.17,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
433,39140,2018-2019,Portage Public Schools,61.96666666666666,95.37,15,571,294,8,0.0,0.0,0.53,10.13,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
434,39140,2020-2021,Portage Public Schools,54.96666666666667,96.14,17,620,273,26,0.0,0.0,0.0,14.63,54168,47378,2392,282,2125,0,199,69380,3179,3234,2841,6144,10240,5142,38.5,37.2,40.0,2215,14330
435,39160,2015-2016,Schoolcraft Community Schools,36.0,96.12,0,9,5,0,0.0,0.0,7.46,17.75,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
436,39160,2016-2017,Schoolcraft Community Schools,44.6,95.12,2,4,5,0,0.0,0.0,1.64,17.31,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
437,39160,2017-2018,Schoolcraft Community Schools,54.7,94.80,2,9,5,0,0.0,0.0,0.0,18.25,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
438,39160,2018-2019,Schoolcraft Community Schools,63.9,95.65,2,5,5,63,0.0,0.0,0.0,18.45,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
439,39160,2020-2021,Schoolcraft Community Schools,63.9,84.59,2,2,5,76,0.0,0.0,0.0,19.96,5173,5003,21,11,14,0,21,78571,270,266,352,823,896,302,39.7,37.2,41.9,168,1426
440,39170,2015-2016,Vicksburg Community Schools,29.5,96.40,11,19,5,0,0.0,0.0,0.0,10.44,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
441,39170,2016-2017,Vicksburg Community Schools,39.9,96.22,13,22,24,0,0.0,0.0,0.0,10.2,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
442,39170,2017-2018,Vicksburg Community Schools,35.8,94.64,11,19,26,0,0.0,0.0,0.0,9.87,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
443,39170,2018-2019,Vicksburg Community Schools,48.6,95.43,14,18,29,2,0.0,0.0,0.0,11.27,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
444,39170,2020-2021,Vicksburg Community Schools,45.7,96.30,9,11,27,8,0.0,0.0,0.0,17.68,16118,15519,191,44,40,0,2,72384,939,1076,728,2795,2084,837,39.7,38.9,40.6,525,4483
445,40020,2015-2016,Forest Area Community Schools,12.8,94.51,11,0,5,0,0.0,0.0,2.08,20.99,5718,5138,323,126,19,0,14,48795,264,226,237,1291,267,155,44.3,43.5,45.4,245,1390
446,40020,2016-2017,Forest Area Community Schools,18.6,93.04,7,1,5,0,0.0,0.0,8.33,28.71,5718,5138,323,126,19,0,14,48795,264,226,237,1291,267,155,44.3,43.5,45.4,245,1390
447,40020,2017-2018,Forest Area Community Schools,34.9,93.35,4,2,5,0,0.0,0.0,10.64,31.56,5718,5138,323,126,19,0,14,48795,264,226,237,1291,267,155,44.3,43.5,45.4,245,1390
448,40020,2018-2019,Forest Area Community Schools,38.7,93.14,6,1,5,1,0.0,0.0,2.44,33.12,5718,5138,323,126,19,0,14,48795,264,226,237,1291,267,155,44.3,43.5,45.4,245,1390
449,40020,2020-2021,Forest Area Community Schools,33.3,90.22,6,0,5,2,0.0,0.0,0.0,31.26,5718,5138,323,126,19,0,14,48795,264,226,237,1291,267,155,44.3,43.5,45.4,245,1390
450,40040,2015-2016,Kalkaska Public Schools,16.5,95.07,7,6,5,0,0.0,0.0,4.35,19.4,12433,11908,108,79,94,0,38,45561,472,714,591,3403,680,288,45.1,44.2,45.6,784,3552
