SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
Memphis Community Schools,5636,5391,35,0,0,0,162,65682,212,241,347,1253,436,170,44.0,42.6,46.0,189,1503
Mendon Community School District,3382,3318,22,13,9,6,0,62600,190,206,211,723,230,181,41.7,40.8,42.1,85,974
Menominee Area Public Schools,11904,11539,38,7,38,0,21,45187,442,471,631,3493,1152,439,48.1,46.9,50.0,558,3245
Meridian Public Schools,10483,10022,180,20,25,0,12,57262,431,302,537,2321,1101,609,47.6,47.6,47.6,518,3195
Merrill Community Schools,5140,4997,3,19,3,0,47,52321,299,364,250,1339,416,139,41.3,39.5,42.4,341,1466
Mesick Consolidated Schools,5149,4974,29,33,19,2,6,42787,217,240,281,1337,260,169,44.9,43.1,46.3,385,1370
Michigan Center School District,7750,7311,47,103,36,0,0,48163,214,416,289,1417,659,252,46.2,46.8,44.5,365,2212
Midland Public Schools,52977,48519,932,289,1819,58,265,62093,2667,2652,2924,7805,8855,4031,40.2,38.3,42.4,1799,14242
Mid Peninsula School District,1727,1621,2,43,3,1,0,53368,55,76,69,522,150,46,49.7,50.0,49.5,39,507
Milan Area Schools,16621,13803,1870,158,127,1,131,72948,550,782,999,2857,1491,789,40.2,42.8,38.3,369,3412
Millington Community Schools,8890,8544,30,34,118,0,29,54787,439,275,342,2558,570,228,46.7,46.5,47.0,400,2667
Mio-AuSable Schools,4955,4807,39,18,4,0,5,39813,198,126,234,1152,235,102,50.9,50.3,51.4,227,1402
Mona Shores Public School District,22862,20570,978,190,409,9,72,61948,1039,1152,1412,3464,3577,1368,44.0,42.1,46.3,1027,6363
Monroe Public Schools,47633,43754,2069,189,272,7,206,51473,2200,2286,2472,9729,3901,1852,41.1,40.5,41.9,3474,12401
Montague Area Public Schools,8719,8297,38,122,4,1,94,57024,384,464,560,1809,807,294,42.8,42.4,43.2,439,2414
Montrose Community Schools,7658,7287,140,28,10,0,35,53799,381,385,293,2022,582,176,44.3,41.3,46.3,514,2019
Morenci Area Schools,4288,4050,28,21,21,0,11,43387,246,275,306,1050,231,57,38.6,36.9,39.7,278,1118
Morley Stanwood Community Schools,9799,9540,54,12,28,7,9,45517,503,595,511,2348,638,309,39.6,39.0,40.7,681,2401
